country_region_code,country_region,sub_region_1,sub_region_2,metro_area,PHU,popshare,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-15,0,0,23,8,-2,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-16,5,-1,,-3,-5,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-17,-51,-66,,-28,-66,12
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-18,-10,3,-16,-4,-4,3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-19,3,-1,-6,-1,0,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-20,11,11,-1,8,1,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-21,6,-2,7,0,-10,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-22,5,5,,14,4,-2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-23,10,-7,,-1,3,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-24,7,-1,,-6,2,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-25,7,2,,-4,4,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-26,4,2,0,-12,3,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-27,-5,-6,-19,-15,2,2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-28,-9,-8,-15,-5,-4,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-02-29,10,10,44,25,8,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-01,13,2,31,-6,6,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-02,14,7,,-13,2,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-03,13,1,,-10,5,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-04,8,-2,4,-12,5,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-05,-1,-3,1,-8,0,2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-06,1,-2,9,0,2,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-07,12,2,,13,10,-2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-08,15,0,,4,0,-1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-09,10,3,,-12,3,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-10,10,5,,-4,4,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-11,6,2,-11,-12,3,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-12,13,33,-5,-5,2,0
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-13,-6,24,-29,-13,-4,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-14,3,27,37,9,2,1
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-15,-3,0,,-6,-6,2
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-16,5,34,,-23,-28,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-17,-18,15,,-15,-35,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-18,-32,4,,-27,-39,11
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-19,-27,8,,-24,-42,12
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-20,-39,-6,2,-27,-43,16
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-21,-38,-12,,-14,-29,8
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-22,-42,-29,33,-32,-32,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-23,-28,-5,,-36,-47,14
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-24,-36,-11,,-26,-49,14
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-25,-50,-26,,-43,-52,17
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-26,-48,-20,,-41,-54,17
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-27,-48,-19,,-35,-51,18
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-28,-50,-21,42,-26,-36,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-29,-52,-37,-26,-45,-40,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-30,-46,-27,,-36,-55,17
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-03-31,-40,-15,,-33,-53,16
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-01,-44,-22,,-32,-53,16
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-02,-45,-19,,-42,-55,17
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-03,-47,-22,25,-31,-53,18
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-04,-55,-30,-20,-37,-40,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-05,-53,-36,29,-31,-39,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-06,-52,-26,,-42,-55,17
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-07,-53,-22,-18,-45,-56,18
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-08,-49,-15,5,-40,-57,17
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-09,-39,4,-14,-37,-56,16
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-10,-81,-73,6,-56,-79,26
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-11,-46,-1,28,-14,-38,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-12,-80,-76,-17,-42,-46,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-13,-57,-31,-33,-56,-63,20
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-14,-52,-23,-6,-45,-55,18
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-15,-49,-19,1,-40,-54,18
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-16,-49,-19,,-42,-55,18
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-17,-53,-26,16,-35,-52,19
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-18,-54,-25,17,-16,-36,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-19,-52,-35,7,-41,-38,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-20,-48,-27,,-48,-53,16
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-21,-50,-26,-4,-48,-54,18
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-22,-43,-21,,-38,-53,16
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-23,-44,-20,,-41,-53,17
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-24,-47,-24,,-27,-50,18
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-25,-48,-23,,-7,-34,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-26,-42,-29,,-15,-35,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-27,-39,-21,,-33,-51,14
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-28,-39,-17,,-32,-52,15
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-29,-49,-29,-18,-42,-53,17
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-04-30,-40,-9,,-35,-53,17
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-01,-42,-13,,-15,-48,15
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-02,-47,-13,,-11,-34,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-03,-44,-27,,-28,-33,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-04,-35,-10,,-33,-50,13
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-05,-34,-8,,-21,-49,14
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-06,-33,-11,,-27,-49,14
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-07,-39,-11,,-34,-50,15
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-08,-42,-14,25,-30,-47,18
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-09,-36,-8,21,-17,-29,9
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-10,-26,-14,,-13,-27,6
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-11,-32,-18,,-28,-46,13
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-12,-31,-13,,-23,-46,14
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-13,-29,-8,,-17,-45,13
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-14,-32,-9,,-34,-48,16
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-15,-34,-10,,-27,-48,15
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-16,-29,-4,,-3,-25,3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-17,-25,-16,,-18,-28,
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-18,-61,-64,,-47,-75,16
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-19,-12,5,,-21,-43,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-20,-13,6,,-12,-44,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-21,-17,6,,-17,-44,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-22,-25,-5,,-15,-42,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-23,-27,-2,,4,-20,3
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-24,-25,-16,,-14,-24,4
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-25,-15,-6,,-25,-43,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-26,-12,3,,-17,-41,10
CA,Canada,Ontario,Algoma District,,Algoma Public Health Unit,1,2020-05-27,-16,4,,-18,-43,11
